source,target,community_source,community_target
39,214,2,2
40,214,2,2
41,214,2,2
213,215,2,2
35,215,1,2
39,215,2,2
40,215,2,2
41,215,2,2
216,305,2,3
35,216,1,2
39,216,2,2
40,216,2,2
41,216,2,2
217,219,2,2
217,306,2,1
35,217,1,2
39,217,2,2
40,217,2,2
41,217,2,2
218,304,2,12
35,218,1,2
39,218,2,2
40,218,2,2
41,218,2,2
219,306,2,1
35,219,1,2
39,219,2,2
40,219,2,2
41,219,2,2
220,221,2,2
220,307,2,2
35,220,1,2
220,308,2,2
41,220,2,2
221,307,2,2
35,221,1,2
221,308,2,2
41,221,2,2
222,223,2,2
222,309,2,2
35,222,1,2
39,222,2,2
40,222,2,2
41,222,2,2
223,309,2,2
35,223,1,2
39,223,2,2
40,223,2,2
41,223,2,2
224,228,2,2
224,310,2,3
35,224,1,2
39,224,2,2
40,224,2,2
41,224,2,2
225,227,2,2
225,226,2,2
35,225,1,2
39,225,2,2
40,225,2,2
41,225,2,2
226,227,2,2
35,227,1,2
39,227,2,2
40,227,2,2
41,227,2,2
228,310,2,3
35,228,1,2
39,228,2,2
40,228,2,2
41,228,2,2
229,230,2,2
229,311,2,12
35,229,1,2
39,229,2,2
40,229,2,2
41,229,2,2
230,311,2,12
35,230,1,2
39,230,2,2
40,230,2,2
41,230,2,2
231,233,2,2
231,312,2,3
35,231,1,2
39,231,2,2
40,231,2,2
41,231,2,2
232,234,2,2
232,313,2,1
232,314,2,2
39,232,2,2
40,232,2,2
41,232,2,2
233,312,2,3
35,233,1,2
39,233,2,2
40,233,2,2
41,233,2,2
234,313,2,1
234,314,2,2
39,234,2,2
40,234,2,2
41,234,2,2
235,238,2,2
235,236,2,2
35,235,1,2
39,235,2,2
40,235,2,2
41,235,2,2
237,239,2,2
82,237,2,2
35,237,1,2
39,237,2,2
40,237,2,2
41,237,2,2
236,238,2,2
35,238,1,2
39,238,2,2
40,238,2,2
41,238,2,2
82,239,2,2
35,239,1,2
39,239,2,2
40,239,2,2
41,239,2,2
240,241,2,2
240,315,2,2
35,240,1,2
39,240,2,2
40,240,2,2
41,240,2,2
241,315,2,2
35,241,1,2
39,241,2,2
40,241,2,2
41,241,2,2
242,243,2,2
242,244,2,2
35,242,1,2
39,242,2,2
40,242,2,2
41,242,2,2
243,244,2,2
35,243,1,2
39,243,2,2
40,243,2,2
41,243,2,2
245,247,2,2
245,316,2,1
35,245,1,2
39,245,2,2
40,245,2,2
41,245,2,2
246,248,2,2
246,249,2,2
35,246,1,2
39,246,2,2
40,246,2,2
41,246,2,2
247,316,2,1
35,247,1,2
39,247,2,2
40,247,2,2
41,247,2,2
248,249,2,2
35,248,1,2
39,248,2,2
40,248,2,2
41,248,2,2
250,252,1,1
250,251,1,1
35,250,1,1
39,250,2,1
40,250,2,1
41,250,2,1
251,252,1,1
39,252,2,1
40,252,2,1
41,252,2,1
253,254,2,2
253,317,2,2
35,253,1,2
39,253,2,2
40,253,2,2
41,253,2,2
254,317,2,2
35,254,1,2
39,254,2,2
40,254,2,2
41,254,2,2
255,259,1,1
255,256,1,1
35,255,1,1
39,255,2,1
40,255,2,1
41,255,2,1
257,261,1,1
257,258,1,1
35,257,1,1
39,257,2,1
40,257,2,1
41,257,2,1
256,259,1,1
35,259,1,1
39,259,2,1
40,259,2,1
41,259,2,1
260,265,2,2
260,266,2,2
35,260,1,2
39,260,2,2
40,260,2,2
41,260,2,2
258,261,1,1
35,261,1,1
39,261,2,1
40,261,2,1
41,261,2,1
262,264,2,2
262,263,2,2
35,262,1,2
39,262,2,2
40,262,2,2
41,262,2,2
263,264,2,2
35,264,1,2
39,264,2,2
40,264,2,2
41,264,2,2
265,266,2,2
35,265,1,2
39,265,2,2
40,265,2,2
41,265,2,2
267,269,2,2
267,268,2,2
35,267,1,2
39,267,2,2
40,267,2,2
41,267,2,2
268,269,2,2
35,269,1,2
39,269,2,2
40,269,2,2
41,269,2,2
271,272,2,2
275,276,2,2
279,280,2,2
281,282,1,1
285,286,2,2
287,288,2,2
290,291,2,2
270,271,2,2
270,272,2,2
35,270,1,2
39,270,2,2
40,270,2,2
41,270,2,2
271,272,2,2
35,271,1,2
39,271,2,2
40,271,2,2
41,271,2,2
273,275,2,2
273,276,2,2
35,273,1,2
39,273,2,2
40,273,2,2
41,273,2,2
274,278,2,2
89,274,9,2
35,274,1,2
39,274,2,2
40,274,2,2
41,274,2,2
275,276,2,2
35,275,1,2
39,275,2,2
40,275,2,2
41,275,2,2
277,279,2,2
277,280,2,2
35,277,1,2
39,277,2,2
40,277,2,2
41,277,2,2
89,278,9,2
35,278,1,2
39,278,2,2
40,278,2,2
41,278,2,2
279,280,2,2
35,279,1,2
39,279,2,2
40,279,2,2
41,279,2,2
281,283,1,1
281,282,1,1
281,318,1,1
39,281,2,1
40,281,2,1
41,281,2,1
282,283,1,1
283,318,1,1
39,283,2,1
40,283,2,1
41,283,2,1
284,285,2,2
284,286,2,2
39,284,2,2
40,284,2,2
41,284,2,2
287,289,2,2
287,288,2,2
35,287,1,2
39,287,2,2
40,287,2,2
41,287,2,2
288,289,2,2
35,289,1,2
39,289,2,2
40,289,2,2
41,289,2,2
290,292,2,2
290,291,2,2
35,290,1,2
39,290,2,2
40,290,2,2
41,290,2,2
291,292,2,2
35,292,1,2
39,292,2,2
40,292,2,2
41,292,2,2
293,294,2,2
293,319,2,2
35,293,1,2
39,293,2,2
40,293,2,2
41,293,2,2
294,319,2,2
35,294,1,2
39,294,2,2
40,294,2,2
41,294,2,2
295,320,2,2
295,321,2,9
35,295,1,2
39,295,2,2
40,295,2,2
41,295,2,2
296,322,2,2
296,323,2,2
35,296,1,2
39,296,2,2
40,296,2,2
41,296,2,2
285,286,2,2
35,285,1,2
39,285,2,2
40,285,2,2
41,285,2,2
320,321,2,9
35,320,1,2
38,320,2,2
39,320,2,2
40,320,2,2
41,320,2,2
38,324,2,2
38,325,2,2
38,326,2,2
38,327,2,2
38,322,2,2
38,328,2,2
38,329,2,2
38,330,2,2
38,331,2,2
38,333,2,2
38,334,2,2
38,335,2,2
38,336,2,2
38,337,2,1
38,338,2,1
38,340,2,15
38,341,2,16
38,342,2,2
38,344,2,16
331,332,2,2
189,334,2,2
338,339,1,1
342,343,2,2
344,345,16,16
38,346,2,2
38,347,2,15
38,349,2,2
38,350,2,2
38,351,2,2
38,352,2,2
38,353,2,1
38,355,2,2
38,356,2,2
38,357,2,2
38,358,2,2
38,359,2,2
38,360,2,2
38,361,2,2
38,362,2,1
38,363,2,12
38,365,2,1
38,367,2,12
38,368,2,2
38,369,2,2
347,348,15,15
353,354,1,1
146,358,1,2
363,364,12,12
365,366,1,1
210,370,1,12
210,371,1,1
210,372,1,1
210,373,1,1
210,374,1,1
210,375,1,1
210,376,1,1
210,377,1,1
210,378,1,1
210,379,1,1
210,380,1,1
210,381,1,1
210,382,1,1
210,383,1,1
210,384,1,1
210,385,1,1
210,386,1,1
210,387,1,1
324,327,2,2
324,388,2,10
39,324,2,2
40,324,2,2
41,324,2,2
325,326,2,2
325,389,2,1
35,325,1,2
39,325,2,2
40,325,2,2
41,325,2,2
326,389,2,1
35,326,1,2
39,326,2,2
40,326,2,2
41,326,2,2
327,388,2,10
35,327,1,2
39,327,2,2
40,327,2,2
41,327,2,2
328,329,2,2
172,328,3,2
35,328,1,2
39,328,2,2
40,328,2,2
41,328,2,2
172,329,3,2
35,329,1,2
39,329,2,2
40,329,2,2
41,329,2,2
330,331,2,2
330,332,2,2
35,330,1,2
39,330,2,2
40,330,2,2
41,330,2,2
331,332,2,2
35,331,1,2
39,331,2,2
40,331,2,2
41,331,2,2
333,336,2,2
333,390,2,2
35,333,1,2
39,333,2,2
40,333,2,2
41,333,2,2
334,335,2,2
189,335,2,2
35,335,1,2
39,335,2,2
40,335,2,2
41,335,2,2
336,390,2,2
35,336,1,2
39,336,2,2
40,336,2,2
41,336,2,2
337,338,1,1
337,339,1,1
35,337,1,1
39,337,2,1
40,337,2,1
41,337,2,1
338,339,1,1
35,338,1,1
39,338,2,1
40,338,2,1
41,338,2,1
340,347,15,15
340,348,15,15
35,340,1,15
39,340,2,15
40,340,2,15
41,340,2,15
341,344,16,16
341,345,16,16
35,341,1,16
39,341,2,16
40,341,2,16
41,341,2,16
342,346,2,2
342,343,2,2
35,342,1,2
39,342,2,2
40,342,2,2
41,342,2,2
344,345,16,16
35,344,1,16
39,344,2,16
40,344,2,16
41,344,2,16
343,346,2,2
35,346,1,2
39,346,2,2
40,346,2,2
41,346,2,2
347,348,15,15
39,347,2,15
40,347,2,15
41,347,2,15
349,350,2,2
349,391,2,17
349,392,2,2
39,349,2,2
40,349,2,2
41,349,2,2
350,391,2,17
350,392,2,2
39,350,2,2
40,350,2,2
41,350,2,2
351,352,2,2
351,393,2,2
35,351,1,2
39,351,2,2
40,351,2,2
41,351,2,2
352,393,2,2
35,352,1,2
39,352,2,2
40,352,2,2
41,352,2,2
353,355,1,2
353,354,1,1
39,353,2,1
40,353,2,1
41,353,2,1
355,394,2,2
35,355,1,2
39,355,2,2
40,355,2,2
41,355,2,2
356,357,2,2
356,395,2,2
35,356,1,2
39,356,2,2
40,356,2,2
41,356,2,2
357,395,2,2
35,357,1,2
39,357,2,2
40,357,2,2
41,357,2,2
358,359,2,2
146,359,1,2
35,359,1,2
39,359,2,2
40,359,2,2
41,359,2,2
360,361,2,2
360,396,2,18
360,397,2,2
39,360,2,2
40,360,2,2
41,360,2,2
361,396,2,18
361,397,2,2
39,361,2,2
40,361,2,2
41,361,2,2
362,365,1,1
362,366,1,1
35,362,1,1
39,362,2,1
40,362,2,1
41,362,2,1
363,367,12,12
363,364,12,12
35,363,1,12
39,363,2,12
40,363,2,12
41,363,2,12
365,366,1,1
35,365,1,1
39,365,2,1
40,365,2,1
